n,vocab_size,val_ppl,val_bpt,train_ppl,train_bpt,lambdas,actual_vocab_size
1,100,88.19009498009605,6.462544724303406,35.59948496661798,5.153784464127321,[1.0],48
1,200,88.19009498009605,6.462544724303406,35.59948496661798,5.153784464127321,[1.0],48
1,500,88.19009498009605,6.462544724303406,35.59948496661798,5.153784464127321,[1.0],48
1,800,88.19009498009605,6.462544724303406,35.59948496661798,5.153784464127321,[1.0],48
1,1000,88.19009498009605,6.462544724303406,35.59948496661798,5.153784464127321,[1.0],48
1,1200,88.19009498009605,6.462544724303406,35.59948496661798,5.153784464127321,[1.0],48
2,100,50.87663828034481,5.668931441285892,24.276794297753757,4.601506024056289,"[0.06297335605699649, 0.9370266439430035]",49
2,200,50.87663828034481,5.668931441285892,24.276794297753757,4.601506024056289,"[0.06297335605699649, 0.9370266439430035]",49
2,500,50.87663828034481,5.668931441285892,24.276794297753757,4.601506024056289,"[0.06297335605699649, 0.9370266439430035]",49
2,800,50.87663828034481,5.668931441285892,24.276794297753757,4.601506024056289,"[0.06297335605699649, 0.9370266439430035]",49
2,1000,50.87663828034481,5.668931441285892,24.276794297753757,4.601506024056289,"[0.06297335605699649, 0.9370266439430035]",49
2,1200,50.87663828034481,5.668931441285892,24.276794297753757,4.601506024056289,"[0.06297335605699649, 0.9370266439430035]",49
3,100,50.06176037352506,5.64563711778539,24.633230297953506,4.622533924074477,"[0.05066585765373079, 0.19543977284815992, 0.7538943694981092]",49
3,200,50.06176037352506,5.64563711778539,24.633230297953506,4.622533924074477,"[0.05066585765373079, 0.19543977284815992, 0.7538943694981092]",49
3,500,50.06176037352506,5.64563711778539,24.633230297953506,4.622533924074477,"[0.05066585765373079, 0.19543977284815992, 0.7538943694981092]",49
3,800,50.06176037352506,5.64563711778539,24.633230297953506,4.622533924074477,"[0.05066585765373079, 0.19543977284815992, 0.7538943694981092]",49
3,1000,50.06176037352506,5.64563711778539,24.633230297953506,4.622533924074477,"[0.05066585765373079, 0.19543977284815992, 0.7538943694981092]",49
3,1200,50.06176037352506,5.64563711778539,24.633230297953506,4.622533924074477,"[0.05066585765373079, 0.19543977284815992, 0.7538943694981092]",49
4,100,49.843949868331215,5.639346493699949,24.75592307912478,4.629701839252969,"[0.041002120862658836, 0.10084894403782897, 0.2480483765123371, 0.610100558587175]",49
4,200,49.843949868331215,5.639346493699949,24.75592307912478,4.629701839252969,"[0.041002120862658836, 0.10084894403782897, 0.2480483765123371, 0.610100558587175]",49
4,500,49.843949868331215,5.639346493699949,24.75592307912478,4.629701839252969,"[0.041002120862658836, 0.10084894403782897, 0.2480483765123371, 0.610100558587175]",49
4,800,49.843949868331215,5.639346493699949,24.75592307912478,4.629701839252969,"[0.041002120862658836, 0.10084894403782897, 0.2480483765123371, 0.610100558587175]",49
4,1000,49.843949868331215,5.639346493699949,24.75592307912478,4.629701839252969,"[0.041002120862658836, 0.10084894403782897, 0.2480483765123371, 0.610100558587175]",49
4,1200,49.843949868331215,5.639346493699949,24.75592307912478,4.629701839252969,"[0.041002120862658836, 0.10084894403782897, 0.2480483765123371, 0.610100558587175]",49
